skillCount,Freq
.Net,9
Agile,35
AI,34
Android,11
ArcGis,1
AWS,49
Azure,20
BI,24
BigData,101
C/C++,42
Cassandra,19
Clojure,5
CSS,1
DataMining,86
DataScience,108
DataWarehouse,37
DesignPatterns,1
Docker,6
DynamoDB,10
EmbeddedSoftware,3
EnterpriseSoftware,4
ExperimentalDesign,13
FinancialAnalysis,6
FinancialModeling,1
GIS,2
Git,19
Go,3
GoogleCloudPlatform,9
Hadoop,97
HBase,18
Hive,34
ImageProcessing,11
Java,104
JavaScript,7
JIRA,2
Kafka,10
Lua,1
MachineLearning,204
MATLAB,48
MongoDB,22
MySQL,16
"NA",19
NaturalLanguageProcessing,43
Node.js,2
OOP,6
OpenStack,2
Oracle,5
Pentaho,2
Perl,13
PHP,8
PostGis,1
PostgresSQL,9
ProjectManagement,4
Puppet,2
Python,215
R,196
Ruby,19
Rust,1
S3,17
Salesforce,2
SAP,2
Sas,67
Scala,72
Selenium,1
SharePoint,2
ShellScript,8
SignalProcessing,3
Solr,1
Spark,108
Splunk,1
SPSS,20
SQLServer,8
SVN,4
Tableau,44
TensorFlow,14
Teradata,1
VisualBasic,4
VMWare,2
Weka,4
