skillCount,Freq
.Net,11
Agile,33
AI,43
Android,11
AWS,44
Azure,16
BI,22
BigData,103
C/C++,44
Cassandra,19
Clojure,5
Cordova,4
CSS,1
DataMining,89
DataScience,107
DataWarehouse,28
DesignPatterns,1
Docker,6
DynamoDB,10
EmbeddedSoftware,2
EnterpriseSoftware,3
ExperimentalDesign,15
FinancialAnalysis,6
FinancialModeling,1
GIS,1
Git,14
Go,7
GoogleCloudPlatform,9
Hadoop,92
HBase,18
Hive,25
ImageProcessing,13
Java,102
JavaScript,8
JIRA,1
Kafka,6
Lua,1
MachineLearning,208
MATLAB,46
MongoDB,22
MySQL,10
"NA",18
NaturalLanguageProcessing,47
Node.js,2
OOP,11
OpenStack,2
Oracle,5
Pentaho,2
Perl,12
PHP,5
PostgresSQL,7
ProjectManagement,4
Puppet,2
Python,207
R,191
Ruby,18
Rust,1
S3,12
Salesforce,2
SAP,1
Sas,60
Scala,71
Selenium,1
SharePoint,2
ShellScript,9
SignalProcessing,4
Solr,1
Spark,101
Splunk,1
SPSS,19
SQLServer,4
SVN,4
Tableau,38
TensorFlow,14
Teradata,1
VisualBasic,4
VMWare,2
Weka,4
